Role,Country,Last_Company
Engineer,India,EDS Technologies · Jornada completa
Trainee,,KAS Technologies · Jornada completa
Other,Libia,Missing Value
Engineer,Reino Unido,Caterpillar Inc. · Contrato temporal
Other,Alemania,Fraunhofer Institute for Production Technology IPT · Jornada parcial
Other,Reino Unido,Cosworth · Indirect Contract
Intern,India,Dassault Systèmes · Contrato de prácticas
Other,Irán,FMS (Fakoor Meghnatis Spadana) · Jornada completa
Engineer,India,The Logic Factory · Jornada completa
Engineer,Bangladesh,Spark Tex International · Jornada completa
Manager,,Dassault Systèmes
Trainee,India,Onward Technologies Limited · Jornada completa
Customer Service,Estados Unidos,Walmart · Jornada parcial
Engineer,India,EDS Technologies · Jornada completa
Engineer,Vietnam,Yamaha Motor Vietnam · Jornada completa
Researcher,,The University of Queensland · Jornada completa
Other,India,Missing Value
Other,India,Missing Value
Other,,SKY CARE · Jornada completa
Other,Brasil,Autónomo
Other,Francia,Esat du Rangen · Indefinido
Other,Estados Unidos,2 años 7 meses
Developer,Alemania,Dassault Systèmes · Jornada parcial
Other,,IKEA · Jornada completa
Engineer,India,Annai Plastics Works · Jornada completa
Manager,Japón,BSA | The Software Alliance
Other,Canadá,Permanent Full-time · 2 años 5 meses
Other,Portugal,SAMIFI PORTUGUESA · Jornada completa
Engineer,India,Dassault Systèmes
Engineer,Francia,CAMWATER · Contrato de prácticas
Other,,Dassault Systèmes · Jornada completa
Engineer,,THEON SENSORS S.A. · Jornada completa
Technical Support,Turquía,TEKYAZ Teknolojik Yazılımlar · Jornada completa
Other,Francia,Airbus · Indefinido
Intern,India,Anka Technology Solutions Pvt. Ltd. · Contrato de prácticas
Other,Francia,THALES AVS FRANCE SAS · Contrato de formación
Intern,,Transcorp Group · Contrato de prácticas
Other,,Dassault Systèmes · Jornada completa
Intern,,Reliance Industries Limited · Contrato de prácticas
Designer,,Profesional independiente
Engineer,India,Neilsoft · Jornada completa
Engineer,,Dassault Systèmes · Indefinido
Trainee,India,NSICLTD · Contrato de prácticas
Designer,India,D R Technologies · Contrato de prácticas
Manager,India,Exicom Technologies India Pvt Ltd. · Jornada completa
Consultant,India,Teradata · Jornada completa
Other,Turquía,Jornada completa · 6 años 3 meses
Consultant,,TECHNIA UK · Jornada completa
Engineer,,MakinaFleo · Jornada completa
Engineer,India,Bhavani Industries India LLP · Jornada completa
Consultant,Estados Unidos,Yenaplus · Jornada completa
Intern,India,Abhiyantrik Solutions · Contrato de prácticas
Other,,Calistri-Guerrini LLP
Engineer,Estados Unidos,Dassault Systèmes · Contrato de prácticas
Other,,Indefinido · 6 años 9 meses
Other,Suiza,24 años 1 mes
Other,Estados Unidos,"California State University Long Beach, College of Engineering · Jornada parcial"
Designer,,Volta Motor · Jornada completa
Other,,Safran · Contrato de formación
Consultant,,Yenaplus · Jornada completa
Other,India,Jornada completa · 2 años
Engineer,India,Metrolab Engineering Pvt Ltd · Jornada completa
Other,India,Missing Value
Manager,India,Tata Motors
Analyst,Francia,Dassault Systèmes · Contrato de formación
Technical Support,,Eneable Ireland
Engineer,Suecia,PLM Group · Jornada completa
Engineer,India,Zf Steering Gear India Ltd · Jornada completa
Engineer,India,Birlasoft
Other,India,Missing Value
Engineer,Croacia,Computer Controls Croatia Slovenia · Jornada completa
Other,Bangladesh,Missing Value
Other,India,Jornada completa · 2 años 5 meses
Other,,5 años 4 meses
Other,,Nexter
Other,,Confidential · Jornada completa
Other,India,Missing Value
Other,,Safran · Jornada completa
Other,,Dassault Systèmes · Indefinido
Other,Alemania,Indefinido · 1 año 7 meses
Other,Francia,Missing Value
Engineer,India,Invictosonics Engineering LLP · Jornada completa
Designer,Marruecos,AEM AIT Melloul Electromécanique · Jornada completa
Other,Alemania,4 años 8 meses
Engineer,India,Invictosonics Engineering LLP · Jornada completa
Engineer,India,Invictosonics Engineering LLP · Jornada completa
Other,India,Missing Value
Other,India,Missing Value
Other,Alemania,4 años 8 meses
Other,Alemania,4 años 8 meses
