Country,Latitude,Longitude
India,22.3511148,78.6677428
,46.3144754,11.0480288
Libia,1.5413852,33.8655404
Reino Unido,54.7023545,-3.2765753
Alemania,51.1638175,10.4478313
Reino Unido,54.7023545,-3.2765753
India,22.3511148,78.6677428
Irán,32.6475314,54.5643516
India,22.3511148,78.6677428
Bangladesh,-0.2864982,36.0514231
,46.3144754,11.0480288
India,22.3511148,78.6677428
Estados Unidos,39.7837304,-100.445882
India,22.3511148,78.6677428
Vietnam,15.9266657,107.9650855
,46.3144754,11.0480288
India,22.3511148,78.6677428
India,22.3511148,78.6677428
,46.3144754,11.0480288
Brasil,-10.3333333,-53.2
Francia,46.603354,1.8883335
Estados Unidos,39.7837304,-100.445882
Alemania,51.1638175,10.4478313
,46.3144754,11.0480288
India,22.3511148,78.6677428
Japón,36.5748441,139.2394179
Canadá,61.0666922,-107.991707
Portugal,39.6621648,-8.1353519
India,22.3511148,78.6677428
Francia,46.603354,1.8883335
,46.3144754,11.0480288
,46.3144754,11.0480288
Turquía,38.9597594,34.9249653
Francia,46.603354,1.8883335
India,22.3511148,78.6677428
Francia,46.603354,1.8883335
,46.3144754,11.0480288
,46.3144754,11.0480288
,46.3144754,11.0480288
,46.3144754,11.0480288
India,22.3511148,78.6677428
,46.3144754,11.0480288
India,22.3511148,78.6677428
India,22.3511148,78.6677428
India,22.3511148,78.6677428
India,22.3511148,78.6677428
Turquía,38.9597594,34.9249653
,46.3144754,11.0480288
,46.3144754,11.0480288
India,22.3511148,78.6677428
Estados Unidos,39.7837304,-100.445882
India,22.3511148,78.6677428
,46.3144754,11.0480288
Estados Unidos,39.7837304,-100.445882
,46.3144754,11.0480288
Suiza,46.7985624,8.2319736
Estados Unidos,39.7837304,-100.445882
,46.3144754,11.0480288
,46.3144754,11.0480288
,46.3144754,11.0480288
India,22.3511148,78.6677428
India,22.3511148,78.6677428
India,22.3511148,78.6677428
India,22.3511148,78.6677428
Francia,46.603354,1.8883335
,46.3144754,11.0480288
Suecia,59.6749712,14.5208584
India,22.3511148,78.6677428
India,22.3511148,78.6677428
India,22.3511148,78.6677428
Croacia,45.3658443,15.6575209
Bangladesh,-0.2864982,36.0514231
India,22.3511148,78.6677428
,46.3144754,11.0480288
,46.3144754,11.0480288
,46.3144754,11.0480288
India,22.3511148,78.6677428
,46.3144754,11.0480288
,46.3144754,11.0480288
Alemania,51.1638175,10.4478313
Francia,46.603354,1.8883335
India,22.3511148,78.6677428
Marruecos,28.3347722,-10.371337908392647
Alemania,51.1638175,10.4478313
India,22.3511148,78.6677428
India,22.3511148,78.6677428
India,22.3511148,78.6677428
India,22.3511148,78.6677428
Alemania,51.1638175,10.4478313
Alemania,51.1638175,10.4478313
