Country,Count,Latitude,Longitude
Alemania,2,51.1638175,10.4478313
Argelia,1,28.0000272,2.9999825
Autoridad Palestina,1,,
Bangladesh,3,-0.2864982,36.0514231
Bolivia,1,-17.0568696,-64.9912286
Brasil,2,-10.3333333,-53.2
Chipre,1,34.9174159,32.889902651331866
Ecuador,1,-1.3397668,-79.3666965
España,1,39.3260685,-4.8379791
Estados Unidos,3,39.7837304,-100.445882
Etiopía,2,22.7746653,-82.4820498
Hungría,1,47.1817585,19.5060937
India,7,22.3511148,78.6677428
Irak,1,1.7635148,32.4304243
Irán,1,32.6475314,54.5643516
Italia,1,42.6384261,12.674297
Kenia,1,1.4419683,38.4313975
Kuwait,1,29.3796532,47.9734174
Letonia,1,56.8406494,24.7537645
Lituania,2,55.3500003,23.7499997
Los Ángeles y alrededores,1,,
Marruecos,1,28.3347722,-10.371337908392647
Newcastle y alrededores,1,,
Nigeria,4,9.6000359,7.9999721
Nápoles y alrededores,1,,
Pakistán,1,30.3308401,71.247499
Reino Unido,2,54.7023545,-3.2765753
Rumania,1,45.9852129,24.6859225
Sierra Leona,1,8.6400349,-11.8400269
Stuttgart y alrededores,1,,
Taiwan,1,23.5983227,120.83537694479215
Turquía,1,38.9597594,34.9249653
Uganda,1,1.5333554,32.2166578
Uzbekistán,1,41.32373,63.9528098
